run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
4,5,4,astar,fast,manhattan,gcompare,80,0,536870912,aborted,-1,-1,13862824,4592462,5474215,246416,3796147,8388609,570826760,1.488,0,0,0,4.716809000
5,6,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,44,-1,202986,67959,76835,2882,58192,126151,7864448,1.444,0,0,0,0.017921000
6,7,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,42,-1,376646,124488,140543,4855,111615,236103,14549224,1.429,0,0,0,0.038728000
7,8,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,46,-1,1750123,584862,672321,25376,492940,1077802,72877088,1.459,0,0,0,0.400739000
8,9,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,38,-1,260050,85836,97351,3230,76863,162699,11010208,1.450,0,0,0,0.024333000
9,10,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,42,-1,147705,48544,52450,1389,46711,95255,6291552,1.374,0,0,0,0.012611000
0,1,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,44,-1,24115580,11745960,0,0,44,0,736,0.000,10,14688753,43,0.340745000
1,2,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,38,-1,261100,127411,0,0,38,0,712,0.000,8,8810,37,0.003954000
2,3,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,44,-1,942125,457402,0,0,44,0,736,0.000,8,176030,43,0.018785000
3,4,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,38,-1,58165,27931,0,0,38,0,712,0.000,5,42477,37,0.000859000
4,5,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,50,-1,74296996,36530896,0,0,50,0,760,0.000,11,20394242,49,1.151790000
5,6,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,44,-1,467808,237035,0,0,44,0,736,0.000,7,139409,43,0.006792000
6,7,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,42,-1,784584,384510,0,0,42,0,728,0.000,8,3818,41,0.011228000
7,8,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,46,-1,7189842,3589345,0,0,46,0,744,0.000,8,3148206,45,0.101533000
8,9,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,38,-1,823926,404835,0,0,38,0,712,0.000,9,523513,37,0.011564000
9,10,4,ida,n/a,manhattan,gcompare,80,4000000000,0,ok,42,-1,294018,146119,0,0,42,0,728,0.000,5,194885,41,0.004148000
0,1,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,44,-1,630089,207789,233404,7552,188896,396685,25559432,1.401,0,0,0,0.073455000
1,2,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,38,-1,63910,21027,22954,522,19929,40956,2752552,1.383,0,0,0,0.005181000
2,3,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,44,-1,806484,262460,298646,12256,245378,507838,30671344,1.457,0,0,0,0.093198000
3,4,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,44,-1,343857,115109,129969,4591,98779,213888,13762776,1.408,0,0,0,0.033435000
4,5,4,astar,fast,manhattan,gcompare,100,0,536870912,aborted,-1,-1,13901212,4614915,5512603,242040,3773694,8388609,570826760,1.500,0,0,0,4.479546000
5,6,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,56,-1,5464264,1859534,2122602,95454,1482128,3341662,210767040,1.374,0,0,0,1.306844000
6,7,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,38,-1,177297,58379,65205,1787,53713,112092,7078000,1.415,0,0,0,0.015326000
7,8,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,48,-1,766154,258032,289905,10359,218217,476249,29491672,1.414,0,0,0,0.087379000
8,9,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,40,-1,207871,68744,77815,2457,61312,130056,7864448,1.470,0,0,0,0.018175000
9,10,4,astar,fast,manhattan,gcompare,100,0,536870912,ok,48,-1,3606732,1197644,1366775,50509,1042313,2239957,149686416,1.458,0,0,0,0.899129000
0,1,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,44,-1,1888647,918087,0,0,44,0,736,0.000,7,629734,43,0.026471000
1,2,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,38,-1,130255,64257,0,0,38,0,712,0.000,7,64617,37,0.001895000
2,3,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,44,-1,7960963,3782703,0,0,44,0,736,0.000,6,6550065,43,0.114577000
3,4,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,44,-1,718841,361175,0,0,44,0,736,0.000,8,190949,43,0.010138000
4,5,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,52,-1,740129221,366148449,0,0,52,0,768,0.000,12,274045289,51,10.724649000
5,6,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,56,-1,36172368,18586269,0,0,56,0,784,0.000,8,26108525,55,0.520209000
6,7,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,38,-1,460622,225704,0,0,38,0,712,0.000,8,178928,37,0.006584000
7,8,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,48,-1,5933025,3002479,0,0,48,0,752,0.000,7,4777657,47,0.083419000
8,9,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,40,-1,1421055,698022,0,0,40,0,720,0.000,8,1091853,39,0.020105000
9,10,4,ida,n/a,manhattan,gcompare,100,4000000000,0,ok,48,-1,11707152,5826018,0,0,48,0,752,0.000,8,8205918,47,0.162325000
0,1,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,44,-1,479656,160241,180316,5321,139099,299340,20840744,1.434,0,0,0,0.048490000
1,2,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,42,-1,253177,83412,93340,2726,76425,159837,11010208,1.415,0,0,0,0.023292000
2,3,4,astar,fast,manhattan,gcompare,140,0,536870912,aborted,-1,-1,13801174,4552336,5412564,247588,3836274,8388610,570826760,1.492,0,0,0,4.554092000
3,4,4,astar,fast,manhattan,gcompare,140,0,536870912,ok,38,-1,194284,63757,72048,2085,58479,122236,7471224,1.455,0,0,0,0.016813000
