run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
86,87,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,5436,2038,2276,47,1122,2039,230680,0.000,0,0,0,0.022842000
87,88,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,985,367,393,3,225,368,43289,0.000,0,0,0,0.000628000
88,89,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3269,1221,1355,19,693,1222,139722,0.000,0,0,0,0.006553000
89,90,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6278,2354,2670,54,1254,2355,263457,0.000,0,0,0,0.029834000
90,91,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,801,296,320,3,186,297,35186,0.000,0,0,0,0.000449000
91,92,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4015,1507,1668,40,840,1508,171331,0.000,0,0,0,0.011036000
92,93,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,18017,6775,7928,175,3315,6776,736570,0.000,0,0,0,0.258448000
93,94,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3526,1321,1469,16,736,1322,150161,0.000,0,0,0,0.007674000
94,95,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,12691,4768,5453,101,2470,4769,528374,0.000,0,0,0,0.124825000
95,96,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4585,1718,1887,30,981,1719,196954,0.000,0,0,0,0.016214000
96,97,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,11669,4377,5018,109,2274,4378,485596,0.000,0,0,0,0.118114000
97,98,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1960,725,792,6,443,726,85337,0.000,0,0,0,0.002299000
98,99,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,874,326,350,7,198,327,38252,0.000,0,0,0,0.000503000
99,100,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,1514,573,612,3,329,574,65846,0.000,0,0,0,0.001437000
100,101,3,astar,list,manhattan,gcompare,200,0,0,ok,16,-1,211,79,84,0,48,80,9271,0.000,0,0,0,0.000042000
101,102,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,13811,5192,6089,150,2530,5193,563706,0.000,0,0,0,0.159554000
